loja,sku,item,categoria,unidade_medida,estoque_atual,estoque_minimo,fornecedor,lead_time_dias,ultima_entrega,proxima_entrega_prevista
Loja 002,SKU-6001,Alface americana un,Hortifruti,un,17,23,Fornecedor 5 - Hortifruti,1,2026-07-31,2026-08-02
Loja 002,SKU-6002,Tomate salada kg,Hortifruti,kg,68.5,17.7,Fornecedor 5 - Hortifruti,1,2026-07-30,2026-08-01
Loja 002,SKU-6003,Cebola kg,Hortifruti,kg,34.0,10.8,Fornecedor 5 - Hortifruti,1,2026-07-31,2026-08-03
Loja 002,SKU-6004,Picles fatiado 2kg,Hortifruti,pt,16,6,Fornecedor 5 - Hortifruti,3,2026-07-25,2026-08-01
Loja 002,SKU-7001,Refrigerante lata cx 24un,Bebidas,cx,21,17,Fornecedor 6 - Bebidas,2,2026-07-26,2026-08-02
Loja 002,SKU-7002,Refrigerante 2L cx 6un,Bebidas,cx,23,7,Fornecedor 6 - Bebidas,2,2026-07-30,2026-08-06
Loja 002,SKU-7003,Suco caixinha cx 12un,Bebidas,cx,23,6,Fornecedor 6 - Bebidas,2,2026-07-30,2026-08-06
Loja 002,SKU-7004,Agua mineral 500ml cx 12un,Bebidas,cx,19,10,Fornecedor 6 - Bebidas,2,2026-07-29,2026-08-05
Loja 002,SKU-8001,Embalagem sanduiche pct 100un,Descartavel,pct,217,77,Fornecedor 7 - Embalagens,7,2026-07-26,2026-08-09
Loja 002,SKU-8002,Copo 400ml pct 50un,Descartavel,pct,182,48,Fornecedor 7 - Embalagens,7,2026-07-27,2026-08-10
Loja 002,SKU-8003,Sacola delivery pct 100un,Descartavel,pct,150,42,Fornecedor 7 - Embalagens,7,2026-07-31,2026-08-14
Loja 002,SKU-8004,Guardanapo pct 1000un,Descartavel,pct,68,26,Fornecedor 7 - Embalagens,7,2026-07-18,2026-08-01
Loja 003,SKU-1001,Hamburguer bovino 180g cx 24un,Proteina,cx,78,39,Fornecedor 1 - Industria de Carnes,3,2026-07-25,2026-08-01
Loja 003,SKU-1002,File de frango congelado 2kg,Proteina,pct,47,67,Fornecedor 1 - Industria de Carnes,3,2026-07-28,2026-08-04
Loja 003,SKU-1003,Bacon fatiado 1kg,Proteina,pct,137,37,Fornecedor 1 - Industria de Carnes,4,2026-08-01,2026-08-08
Loja 003,SKU-1004,Linguica toscana 3kg,Proteina,pct,113,29,Fornecedor 1 - Industria de Carnes,4,2026-07-26,2026-08-02
Loja 003,SKU-2001,Pao de hamburguer pct 12un,Padaria,pct,62,29,Fornecedor 2 - Panificadora,1,2026-07-31,2026-08-02
Loja 003,SKU-2002,Pao brioche pct 12un,Padaria,pct,31,15,Fornecedor 2 - Panificadora,1,2026-07-31,2026-08-02
Loja 003,SKU-3001,Queijo cheddar fatiado 1kg,Laticinio,pct,121,34,Fornecedor 3 - Laticinios,2,2026-07-28,2026-08-04
Loja 003,SKU-3002,Queijo mussarela 5kg,Laticinio,pct,61,23,Fornecedor 3 - Laticinios,2,2026-07-28,2026-08-04
Loja 003,SKU-3003,"Requeijao cremoso 1,5kg",Laticinio,pt,31,11,Fornecedor 3 - Laticinios,2,2026-07-29,2026-08-05
Loja 003,SKU-3004,Manteiga 500g,Laticinio,un,62,15,Fornecedor 3 - Laticinios,2,2026-07-28,2026-08-04
Loja 003,SKU-4001,"Batata pre-frita congelada 2,5kg",Congelado,pct,115,138,Fornecedor 4 - Distribuidora,5,2026-07-28,2026-08-11
Loja 003,SKU-4002,Anel de cebola congelado 1kg,Congelado,pct,62,24,Fornecedor 4 - Distribuidora,5,2026-07-19,2026-08-02
Loja 003,SKU-4003,Nuggets congelado 2kg,Congelado,pct,93,36,Fornecedor 4 - Distribuidora,5,2026-07-23,2026-08-06
Loja 003,SKU-5001,Oleo de soja 900ml cx 20un,Mercearia,cx,54,22,Fornecedor 4 - Distribuidora,5,2026-07-25,2026-08-08
Loja 003,SKU-5002,"Ketchup galao 3,2kg",Mercearia,gl,65,16,Fornecedor 4 - Distribuidora,5,2026-07-24,2026-08-07
Loja 003,SKU-5003,Maionese galao 3kg,Mercearia,gl,26,20,Fornecedor 4 - Distribuidora,5,2026-07-27,2026-08-10
Loja 003,SKU-5004,Mostarda galao 3kg,Mercearia,gl,35,9,Fornecedor 4 - Distribuidora,5,2026-07-24,2026-08-07
Loja 003,SKU-5005,Sal refinado 1kg,Mercearia,un,23,11,Fornecedor 4 - Distribuidora,5,2026-07-30,2026-08-13
Loja 003,SKU-6001,Alface americana un,Hortifruti,un,157,42,Fornecedor 5 - Hortifruti,1,2026-07-30,2026-08-01
Loja 003,SKU-6002,Tomate salada kg,Hortifruti,kg,103.2,35.2,Fornecedor 5 - Hortifruti,1,2026-07-30,2026-08-01
Loja 003,SKU-6003,Cebola kg,Hortifruti,kg,19.0,17.4,Fornecedor 5 - Hortifruti,1,2026-08-01,2026-08-04
Loja 003,SKU-6004,Picles fatiado 2kg,Hortifruti,pt,25,9,Fornecedor 5 - Hortifruti,3,2026-07-29,2026-08-05
Loja 003,SKU-7001,Refrigerante lata cx 24un,Bebidas,cx,83,32,Fornecedor 6 - Bebidas,2,2026-07-28,2026-08-04
Loja 003,SKU-7002,Refrigerante 2L cx 6un,Bebidas,cx,50,12,Fornecedor 6 - Bebidas,2,2026-07-27,2026-08-03
Loja 003,SKU-7003,Suco caixinha cx 12un,Bebidas,cx,33,10,Fornecedor 6 - Bebidas,2,2026-07-29,2026-08-05
Loja 003,SKU-7004,Agua mineral 500ml cx 12un,Bebidas,cx,65,17,Fornecedor 6 - Bebidas,2,2026-07-31,2026-08-07
Loja 003,SKU-8001,Embalagem sanduiche pct 100un,Descartavel,pct,121,145,Fornecedor 7 - Embalagens,7,2026-07-27,2026-08-10
Loja 003,SKU-8002,Copo 400ml pct 50un,Descartavel,pct,340,94,Fornecedor 7 - Embalagens,7,2026-07-18,2026-08-01
Loja 003,SKU-8003,Sacola delivery pct 100un,Descartavel,pct,154,72,Fornecedor 7 - Embalagens,7,2026-07-25,2026-08-08
Loja 003,SKU-8004,Guardanapo pct 1000un,Descartavel,pct,154,44,Fornecedor 7 - Embalagens,7,2026-07-20,2026-08-03
