data,loja,sku,item,unidade_medida,quantidade_vendida
2026-05-04,Loja 001,SKU-7003,Suco caixinha cx 12un,cx,2
2026-05-04,Loja 001,SKU-7004,Agua mineral 500ml cx 12un,cx,4
2026-05-04,Loja 001,SKU-8001,Embalagem sanduiche pct 100un,pct,12
2026-05-04,Loja 001,SKU-8002,Copo 400ml pct 50un,pct,5
2026-05-04,Loja 001,SKU-8003,Sacola delivery pct 100un,pct,5
2026-05-04,Loja 001,SKU-8004,Guardanapo pct 1000un,pct,4
2026-05-04,Loja 002,SKU-1001,Hamburguer bovino 180g cx 24un,cx,6
2026-05-04,Loja 002,SKU-1002,File de frango congelado 2kg,pct,10
2026-05-04,Loja 002,SKU-1003,Bacon fatiado 1kg,pct,3
2026-05-04,Loja 002,SKU-1004,Linguica toscana 3kg,pct,3
2026-05-04,Loja 002,SKU-2001,Pao de hamburguer pct 12un,pct,11
2026-05-04,Loja 002,SKU-2002,Pao brioche pct 12un,pct,6
2026-05-04,Loja 002,SKU-3001,Queijo cheddar fatiado 1kg,pct,7
2026-05-04,Loja 002,SKU-3002,Queijo mussarela 5kg,pct,4
2026-05-04,Loja 002,SKU-3003,"Requeijao cremoso 1,5kg",pt,2
2026-05-04,Loja 002,SKU-3004,Manteiga 500g,un,3
2026-05-04,Loja 002,SKU-4001,"Batata pre-frita congelada 2,5kg",pct,13
2026-05-04,Loja 002,SKU-4002,Anel de cebola congelado 1kg,pct,2
2026-05-04,Loja 002,SKU-4003,Nuggets congelado 2kg,pct,3
2026-05-04,Loja 002,SKU-5001,Oleo de soja 900ml cx 20un,cx,2
2026-05-04,Loja 002,SKU-5002,"Ketchup galao 3,2kg",gl,1
2026-05-04,Loja 002,SKU-5003,Maionese galao 3kg,gl,2
2026-05-04,Loja 002,SKU-5004,Mostarda galao 3kg,gl,1
2026-05-04,Loja 002,SKU-5005,Sal refinado 1kg,un,1
2026-05-04,Loja 002,SKU-6001,Alface americana un,un,10
2026-05-04,Loja 002,SKU-6002,Tomate salada kg,kg,10.2
2026-05-04,Loja 002,SKU-6003,Cebola kg,kg,4.9
2026-05-04,Loja 002,SKU-6004,Picles fatiado 2kg,pt,2
2026-05-04,Loja 002,SKU-7001,Refrigerante lata cx 24un,cx,5
2026-05-04,Loja 002,SKU-7002,Refrigerante 2L cx 6un,cx,3
2026-05-04,Loja 002,SKU-7003,Suco caixinha cx 12un,cx,2
2026-05-04,Loja 002,SKU-7004,Agua mineral 500ml cx 12un,cx,3
2026-05-04,Loja 002,SKU-8001,Embalagem sanduiche pct 100un,pct,8
2026-05-04,Loja 002,SKU-8002,Copo 400ml pct 50un,pct,6
2026-05-04,Loja 002,SKU-8003,Sacola delivery pct 100un,pct,4
2026-05-04,Loja 002,SKU-8004,Guardanapo pct 1000un,pct,2
2026-05-04,Loja 003,SKU-1001,Hamburguer bovino 180g cx 24un,cx,9
2026-05-04,Loja 003,SKU-1002,File de frango congelado 2kg,pct,15
2026-05-04,Loja 003,SKU-1003,Bacon fatiado 1kg,pct,8
2026-05-04,Loja 003,SKU-1004,Linguica toscana 3kg,pct,6
2026-05-04,Loja 003,SKU-2001,Pao de hamburguer pct 12un,pct,22
2026-05-04,Loja 003,SKU-2002,Pao brioche pct 12un,pct,7
2026-05-04,Loja 003,SKU-3001,Queijo cheddar fatiado 1kg,pct,9
2026-05-04,Loja 003,SKU-3002,Queijo mussarela 5kg,pct,6
2026-05-04,Loja 003,SKU-3003,"Requeijao cremoso 1,5kg",pt,5
2026-05-04,Loja 003,SKU-3004,Manteiga 500g,un,4
2026-05-04,Loja 003,SKU-4001,"Batata pre-frita congelada 2,5kg",pct,19
2026-05-04,Loja 003,SKU-4002,Anel de cebola congelado 1kg,pct,4
2026-05-04,Loja 003,SKU-4003,Nuggets congelado 2kg,pct,5
2026-05-04,Loja 003,SKU-5001,Oleo de soja 900ml cx 20un,cx,3
2026-05-04,Loja 003,SKU-5002,"Ketchup galao 3,2kg",gl,2
2026-05-04,Loja 003,SKU-5003,Maionese galao 3kg,gl,3
2026-05-04,Loja 003,SKU-5004,Mostarda galao 3kg,gl,1
2026-05-04,Loja 003,SKU-5005,Sal refinado 1kg,un,1
2026-05-04,Loja 003,SKU-6001,Alface americana un,un,21
2026-05-04,Loja 003,SKU-6002,Tomate salada kg,kg,20.3
2026-05-04,Loja 003,SKU-6003,Cebola kg,kg,13.6
2026-05-04,Loja 003,SKU-6004,Picles fatiado 2kg,pt,3
2026-05-04,Loja 003,SKU-7001,Refrigerante lata cx 24un,cx,12
2026-05-04,Loja 003,SKU-7002,Refrigerante 2L cx 6un,cx,5
2026-05-04,Loja 003,SKU-7003,Suco caixinha cx 12un,cx,3
2026-05-04,Loja 003,SKU-7004,Agua mineral 500ml cx 12un,cx,6
2026-05-04,Loja 003,SKU-8001,Embalagem sanduiche pct 100un,pct,14
2026-05-04,Loja 003,SKU-8002,Copo 400ml pct 50un,pct,10
2026-05-04,Loja 003,SKU-8003,Sacola delivery pct 100un,pct,7
2026-05-04,Loja 003,SKU-8004,Guardanapo pct 1000un,pct,5
2026-05-05,Loja 001,SKU-1001,Hamburguer bovino 180g cx 24un,cx,9
2026-05-05,Loja 001,SKU-1002,File de frango congelado 2kg,pct,12
2026-05-05,Loja 001,SKU-1003,Bacon fatiado 1kg,pct,6
2026-05-05,Loja 001,SKU-1004,Linguica toscana 3kg,pct,4
2026-05-05,Loja 001,SKU-2001,Pao de hamburguer pct 12un,pct,24
2026-05-05,Loja 001,SKU-2002,Pao brioche pct 12un,pct,7
2026-05-05,Loja 001,SKU-3001,Queijo cheddar fatiado 1kg,pct,11
2026-05-05,Loja 001,SKU-3002,Queijo mussarela 5kg,pct,6
2026-05-05,Loja 001,SKU-3003,"Requeijao cremoso 1,5kg",pt,3
2026-05-05,Loja 001,SKU-3004,Manteiga 500g,un,5
2026-05-05,Loja 001,SKU-4001,"Batata pre-frita congelada 2,5kg",pct,13
2026-05-05,Loja 001,SKU-4002,Anel de cebola congelado 1kg,pct,3
2026-05-05,Loja 001,SKU-4003,Nuggets congelado 2kg,pct,4
2026-05-05,Loja 001,SKU-5001,Oleo de soja 900ml cx 20un,cx,3
2026-05-05,Loja 001,SKU-5002,"Ketchup galao 3,2kg",gl,2
2026-05-05,Loja 001,SKU-5003,Maionese galao 3kg,gl,2
2026-05-05,Loja 001,SKU-5004,Mostarda galao 3kg,gl,1
2026-05-05,Loja 001,SKU-5005,Sal refinado 1kg,un,1
2026-05-05,Loja 001,SKU-6001,Alface americana un,un,24
2026-05-05,Loja 001,SKU-6002,Tomate salada kg,kg,17.4
2026-05-05,Loja 001,SKU-6003,Cebola kg,kg,8.0
2026-05-05,Loja 001,SKU-6004,Picles fatiado 2kg,pt,2
2026-05-05,Loja 001,SKU-7001,Refrigerante lata cx 24un,cx,7
2026-05-05,Loja 001,SKU-7002,Refrigerante 2L cx 6un,cx,4
2026-05-05,Loja 001,SKU-7003,Suco caixinha cx 12un,cx,3
2026-05-05,Loja 001,SKU-7004,Agua mineral 500ml cx 12un,cx,6
2026-05-05,Loja 001,SKU-8001,Embalagem sanduiche pct 100un,pct,12
2026-05-05,Loja 001,SKU-8002,Copo 400ml pct 50un,pct,8
2026-05-05,Loja 001,SKU-8003,Sacola delivery pct 100un,pct,7
2026-05-05,Loja 001,SKU-8004,Guardanapo pct 1000un,pct,3
2026-05-05,Loja 002,SKU-1001,Hamburguer bovino 180g cx 24un,cx,4
2026-05-05,Loja 002,SKU-1002,File de frango congelado 2kg,pct,9
2026-05-05,Loja 002,SKU-1003,Bacon fatiado 1kg,pct,4
2026-05-05,Loja 002,SKU-1004,Linguica toscana 3kg,pct,4
2026-05-05,Loja 002,SKU-2001,Pao de hamburguer pct 12un,pct,15
2026-05-05,Loja 002,SKU-2002,Pao brioche pct 12un,pct,6
2026-05-05,Loja 002,SKU-3001,Queijo cheddar fatiado 1kg,pct,7
2026-05-05,Loja 002,SKU-3002,Queijo mussarela 5kg,pct,5
2026-05-05,Loja 002,SKU-3003,"Requeijao cremoso 1,5kg",pt,2
2026-05-05,Loja 002,SKU-3004,Manteiga 500g,un,3
2026-05-05,Loja 002,SKU-4001,"Batata pre-frita congelada 2,5kg",pct,11
2026-05-05,Loja 002,SKU-4002,Anel de cebola congelado 1kg,pct,2
2026-05-05,Loja 002,SKU-4003,Nuggets congelado 2kg,pct,2
2026-05-05,Loja 002,SKU-5001,Oleo de soja 900ml cx 20un,cx,2
2026-05-05,Loja 002,SKU-5002,"Ketchup galao 3,2kg",gl,1
2026-05-05,Loja 002,SKU-5003,Maionese galao 3kg,gl,2
2026-05-05,Loja 002,SKU-5004,Mostarda galao 3kg,gl,1
2026-05-05,Loja 002,SKU-5005,Sal refinado 1kg,un,1
2026-05-05,Loja 002,SKU-6001,Alface americana un,un,15
2026-05-05,Loja 002,SKU-6002,Tomate salada kg,kg,14.0
2026-05-05,Loja 002,SKU-6003,Cebola kg,kg,6.2
2026-05-05,Loja 002,SKU-6004,Picles fatiado 2kg,pt,1
2026-05-05,Loja 002,SKU-7001,Refrigerante lata cx 24un,cx,8
2026-05-05,Loja 002,SKU-7002,Refrigerante 2L cx 6un,cx,3
2026-05-05,Loja 002,SKU-7003,Suco caixinha cx 12un,cx,2
2026-05-05,Loja 002,SKU-7004,Agua mineral 500ml cx 12un,cx,4
2026-05-05,Loja 002,SKU-8001,Embalagem sanduiche pct 100un,pct,7
2026-05-05,Loja 002,SKU-8002,Copo 400ml pct 50un,pct,5
2026-05-05,Loja 002,SKU-8003,Sacola delivery pct 100un,pct,5
2026-05-05,Loja 002,SKU-8004,Guardanapo pct 1000un,pct,3
2026-05-05,Loja 003,SKU-1001,Hamburguer bovino 180g cx 24un,cx,10
2026-05-05,Loja 003,SKU-1002,File de frango congelado 2kg,pct,18
2026-05-05,Loja 003,SKU-1003,Bacon fatiado 1kg,pct,7
2026-05-05,Loja 003,SKU-1004,Linguica toscana 3kg,pct,4
2026-05-05,Loja 003,SKU-2001,Pao de hamburguer pct 12un,pct,24
2026-05-05,Loja 003,SKU-2002,Pao brioche pct 12un,pct,11
2026-05-05,Loja 003,SKU-3001,Queijo cheddar fatiado 1kg,pct,13
2026-05-05,Loja 003,SKU-3002,Queijo mussarela 5kg,pct,7
2026-05-05,Loja 003,SKU-3003,"Requeijao cremoso 1,5kg",pt,3
2026-05-05,Loja 003,SKU-3004,Manteiga 500g,un,6
2026-05-05,Loja 003,SKU-4001,"Batata pre-frita congelada 2,5kg",pct,21
2026-05-05,Loja 003,SKU-4002,Anel de cebola congelado 1kg,pct,3
2026-05-05,Loja 003,SKU-4003,Nuggets congelado 2kg,pct,5
2026-05-05,Loja 003,SKU-5001,Oleo de soja 900ml cx 20un,cx,3
2026-05-05,Loja 003,SKU-5002,"Ketchup galao 3,2kg",gl,2
2026-05-05,Loja 003,SKU-5003,Maionese galao 3kg,gl,2
2026-05-05,Loja 003,SKU-5004,Mostarda galao 3kg,gl,2
2026-05-05,Loja 003,SKU-5005,Sal refinado 1kg,un,1
2026-05-05,Loja 003,SKU-6001,Alface americana un,un,29
2026-05-05,Loja 003,SKU-6002,Tomate salada kg,kg,28.5
2026-05-05,Loja 003,SKU-6003,Cebola kg,kg,9.2
2026-05-05,Loja 003,SKU-6004,Picles fatiado 2kg,pt,3
2026-05-05,Loja 003,SKU-7001,Refrigerante lata cx 24un,cx,10
2026-05-05,Loja 003,SKU-7002,Refrigerante 2L cx 6un,cx,4
2026-05-05,Loja 003,SKU-7003,Suco caixinha cx 12un,cx,3
2026-05-05,Loja 003,SKU-7004,Agua mineral 500ml cx 12un,cx,6
2026-05-05,Loja 003,SKU-8001,Embalagem sanduiche pct 100un,pct,14
2026-05-05,Loja 003,SKU-8002,Copo 400ml pct 50un,pct,7
2026-05-05,Loja 003,SKU-8003,Sacola delivery pct 100un,pct,7
2026-05-05,Loja 003,SKU-8004,Guardanapo pct 1000un,pct,5
2026-05-06,Loja 001,SKU-1001,Hamburguer bovino 180g cx 24un,cx,7
2026-05-06,Loja 001,SKU-1002,File de frango congelado 2kg,pct,12
2026-05-06,Loja 001,SKU-1003,Bacon fatiado 1kg,pct,6
2026-05-06,Loja 001,SKU-1004,Linguica toscana 3kg,pct,5
2026-05-06,Loja 001,SKU-2001,Pao de hamburguer pct 12un,pct,14
2026-05-06,Loja 001,SKU-2002,Pao brioche pct 12un,pct,7
2026-05-06,Loja 001,SKU-3001,Queijo cheddar fatiado 1kg,pct,9
2026-05-06,Loja 001,SKU-3002,Queijo mussarela 5kg,pct,7
2026-05-06,Loja 001,SKU-3003,"Requeijao cremoso 1,5kg",pt,4
2026-05-06,Loja 001,SKU-3004,Manteiga 500g,un,4
2026-05-06,Loja 001,SKU-4001,"Batata pre-frita congelada 2,5kg",pct,17
2026-05-06,Loja 001,SKU-4002,Anel de cebola congelado 1kg,pct,3
2026-05-06,Loja 001,SKU-4003,Nuggets congelado 2kg,pct,4
2026-05-06,Loja 001,SKU-5001,Oleo de soja 900ml cx 20un,cx,3
2026-05-06,Loja 001,SKU-5002,"Ketchup galao 3,2kg",gl,2
2026-05-06,Loja 001,SKU-5003,Maionese galao 3kg,gl,2
2026-05-06,Loja 001,SKU-5004,Mostarda galao 3kg,gl,1
2026-05-06,Loja 001,SKU-5005,Sal refinado 1kg,un,1
2026-05-06,Loja 001,SKU-6001,Alface americana un,un,21
2026-05-06,Loja 001,SKU-6002,Tomate salada kg,kg,13.7
2026-05-06,Loja 001,SKU-6003,Cebola kg,kg,9.7
2026-05-06,Loja 001,SKU-6004,Picles fatiado 2kg,pt,2
2026-05-06,Loja 001,SKU-7001,Refrigerante lata cx 24un,cx,10
2026-05-06,Loja 001,SKU-7002,Refrigerante 2L cx 6un,cx,3
2026-05-06,Loja 001,SKU-7003,Suco caixinha cx 12un,cx,3
2026-05-06,Loja 001,SKU-7004,Agua mineral 500ml cx 12un,cx,4
2026-05-06,Loja 001,SKU-8001,Embalagem sanduiche pct 100un,pct,13
2026-05-06,Loja 001,SKU-8002,Copo 400ml pct 50un,pct,7
2026-05-06,Loja 001,SKU-8003,Sacola delivery pct 100un,pct,7
2026-05-06,Loja 001,SKU-8004,Guardanapo pct 1000un,pct,4
2026-05-06,Loja 002,SKU-1001,Hamburguer bovino 180g cx 24un,cx,6
2026-05-06,Loja 002,SKU-1002,File de frango congelado 2kg,pct,10
2026-05-06,Loja 002,SKU-1003,Bacon fatiado 1kg,pct,4
2026-05-06,Loja 002,SKU-1004,Linguica toscana 3kg,pct,3
2026-05-06,Loja 002,SKU-2001,Pao de hamburguer pct 12un,pct,18
2026-05-06,Loja 002,SKU-2002,Pao brioche pct 12un,pct,7
2026-05-06,Loja 002,SKU-3001,Queijo cheddar fatiado 1kg,pct,7
2026-05-06,Loja 002,SKU-3002,Queijo mussarela 5kg,pct,4
2026-05-06,Loja 002,SKU-3003,"Requeijao cremoso 1,5kg",pt,2
2026-05-06,Loja 002,SKU-3004,Manteiga 500g,un,4
2026-05-06,Loja 002,SKU-4001,"Batata pre-frita congelada 2,5kg",pct,15
2026-05-06,Loja 002,SKU-4002,Anel de cebola congelado 1kg,pct,2
2026-05-06,Loja 002,SKU-4003,Nuggets congelado 2kg,pct,3
2026-05-06,Loja 002,SKU-5001,Oleo de soja 900ml cx 20un,cx,2
2026-05-06,Loja 002,SKU-5002,"Ketchup galao 3,2kg",gl,1
2026-05-06,Loja 002,SKU-5003,Maionese galao 3kg,gl,2
2026-05-06,Loja 002,SKU-5004,Mostarda galao 3kg,gl,1
2026-05-06,Loja 002,SKU-5005,Sal refinado 1kg,un,1
2026-05-06,Loja 002,SKU-6001,Alface americana un,un,13
2026-05-06,Loja 002,SKU-6002,Tomate salada kg,kg,11.7
2026-05-06,Loja 002,SKU-6003,Cebola kg,kg,7.2
2026-05-06,Loja 002,SKU-6004,Picles fatiado 2kg,pt,1
2026-05-06,Loja 002,SKU-7001,Refrigerante lata cx 24un,cx,7
2026-05-06,Loja 002,SKU-7002,Refrigerante 2L cx 6un,cx,3
2026-05-06,Loja 002,SKU-7003,Suco caixinha cx 12un,cx,2
2026-05-06,Loja 002,SKU-7004,Agua mineral 500ml cx 12un,cx,4
2026-05-06,Loja 002,SKU-8001,Embalagem sanduiche pct 100un,pct,8
2026-05-06,Loja 002,SKU-8002,Copo 400ml pct 50un,pct,5
2026-05-06,Loja 002,SKU-8003,Sacola delivery pct 100un,pct,5
2026-05-06,Loja 002,SKU-8004,Guardanapo pct 1000un,pct,3
2026-05-06,Loja 003,SKU-1001,Hamburguer bovino 180g cx 24un,cx,10
2026-05-06,Loja 003,SKU-1002,File de frango congelado 2kg,pct,14
2026-05-06,Loja 003,SKU-1003,Bacon fatiado 1kg,pct,8
2026-05-06,Loja 003,SKU-1004,Linguica toscana 3kg,pct,7
2026-05-06,Loja 003,SKU-2001,Pao de hamburguer pct 12un,pct,25
2026-05-06,Loja 003,SKU-2002,Pao brioche pct 12un,pct,11
2026-05-06,Loja 003,SKU-3001,Queijo cheddar fatiado 1kg,pct,15
2026-05-06,Loja 003,SKU-3002,Queijo mussarela 5kg,pct,10
2026-05-06,Loja 003,SKU-3003,"Requeijao cremoso 1,5kg",pt,5
2026-05-06,Loja 003,SKU-3004,Manteiga 500g,un,6
2026-05-06,Loja 003,SKU-4001,"Batata pre-frita congelada 2,5kg",pct,23
2026-05-06,Loja 003,SKU-4002,Anel de cebola congelado 1kg,pct,3
2026-05-06,Loja 003,SKU-4003,Nuggets congelado 2kg,pct,6
2026-05-06,Loja 003,SKU-5001,Oleo de soja 900ml cx 20un,cx,4
2026-05-06,Loja 003,SKU-5002,"Ketchup galao 3,2kg",gl,2
2026-05-06,Loja 003,SKU-5003,Maionese galao 3kg,gl,3
2026-05-06,Loja 003,SKU-5004,Mostarda galao 3kg,gl,2
2026-05-06,Loja 003,SKU-5005,Sal refinado 1kg,un,2
2026-05-06,Loja 003,SKU-6001,Alface americana un,un,30
2026-05-06,Loja 003,SKU-6002,Tomate salada kg,kg,26.6
2026-05-06,Loja 003,SKU-6003,Cebola kg,kg,13.1
2026-05-06,Loja 003,SKU-6004,Picles fatiado 2kg,pt,2
2026-05-06,Loja 003,SKU-7001,Refrigerante lata cx 24un,cx,14
2026-05-06,Loja 003,SKU-7002,Refrigerante 2L cx 6un,cx,6
2026-05-06,Loja 003,SKU-7003,Suco caixinha cx 12un,cx,3
2026-05-06,Loja 003,SKU-7004,Agua mineral 500ml cx 12un,cx,7
2026-05-06,Loja 003,SKU-8001,Embalagem sanduiche pct 100un,pct,14
2026-05-06,Loja 003,SKU-8002,Copo 400ml pct 50un,pct,11
2026-05-06,Loja 003,SKU-8003,Sacola delivery pct 100un,pct,7
2026-05-06,Loja 003,SKU-8004,Guardanapo pct 1000un,pct,4
2026-05-07,Loja 001,SKU-1001,Hamburguer bovino 180g cx 24un,cx,9
2026-05-07,Loja 001,SKU-1002,File de frango congelado 2kg,pct,14
2026-05-07,Loja 001,SKU-1003,Bacon fatiado 1kg,pct,6
